Zeit	Kanal A	Kanal B
(s)	(V)	(V)

1.30998852	3.46751300	1.90160800
1.31132252	3.46751300	1.90160800
1.31265652	3.46751300	1.90160800
1.31399052	3.46751300	1.99011200
1.31532452	3.46751300	1.99011200
1.31665852	3.46751300	1.90160800
1.31799252	3.46751300	1.90160800
1.31932652	3.46751300	1.90160800
1.32066052	3.46751300	1.90160800
1.32199452	3.46751300	1.90160800
1.32332852	3.46751300	1.90160800
1.32466252	3.46751300	1.90160800
1.32599652	3.46751300	1.90160800
1.32733052	3.46751300	1.90160800
1.32866452	3.46751300	1.90160800
1.32999852	3.46751300	1.99011200
1.33133252	3.46751300	1.90160800
1.33266652	3.46751300	1.99011200
1.33400052	3.46751300	1.99011200
1.33533452	3.46751300	1.99011200
1.33666852	3.46751300	1.90160800
1.33800252	3.46751300	1.90160800
1.33933652	3.46751300	1.90160800
1.34067052	3.46751300	1.90160800
1.34200452	3.46751300	1.90160800
1.34333852	3.46751300	1.99011200
1.34467252	3.46751300	1.90160800
1.34600652	3.64574100	1.90160800
1.34734052	3.46751300	1.90160800
1.34867452	3.46751300	1.90160800
1.35000852	3.46751300	1.99011200
1.35134252	3.46751300	1.99011200
1.35267652	3.46751300	1.90160800
1.35401052	3.46751300	1.90160800
1.35534452	3.46751300	1.90160800
1.35667852	3.46751300	1.90160800
1.35801252	3.46751300	1.90160800
1.35934652	3.46751300	1.90160800
1.36068052	3.46751300	1.99011200
1.36201452	3.64574100	1.99011200
1.36334852	3.46751300	1.90160800
1.36468252	3.64574100	1.90160800
1.36601652	3.64574100	1.90160800
1.36735052	3.64574100	1.90160800
1.36868452	3.64574100	1.90160800
1.37001852	3.46751300	1.99011200
1.37135252	3.64574100	1.99011200
1.37268652	3.64574100	1.90160800
1.37402052	3.46751300	1.99011200
1.37535452	3.46751300	1.90160800
1.37668852	3.64574100	1.99011200
1.37802252	3.46751300	1.90160800
1.37935652	3.46751300	1.99011200
1.38069052	3.46751300	1.90160800
1.38202452	3.64574100	1.90160800
1.38335852	3.46751300	1.99011200
1.38469252	3.46751300	1.90160800
1.38602652	3.64574100	1.90160800
1.38736052	3.64574100	1.99011200
1.38869452	3.64574100	1.99011200
1.39002852	3.64574100	1.99011200
1.39136252	3.46751300	1.99011200
1.39269652	3.46751300	1.90160800
1.39403052	3.46751300	1.99011200
1.39536452	3.46751300	1.99011200
1.39669852	3.46751300	1.90160800
1.39803252	3.64574100	1.99011200
1.39936652	3.46751300	1.90160800
